"","attributes","B and B","Rusty Nail","The Blenheim","Churchill","Common Market","Four Score","Golden Doublet","Kensington Court Special","Link Up","Lorraine","Missouri Mule","Moonwalk","My Fair Lady","Nixon","Powerscourt","The Ed Shelly","Prince of Wales","Royal Arrival","Savoy Affair","Savoy Royale","Savoy Corpse Reviver","Wolfram","Brandy Alexander","Manhattan","Brandy Sour","Sours","White Lady","Brandy Daisy","Chicago Cocktail","French Connection","Horse's Neck","Incredible Hulk","Jack Rose","Paradise","Pisco sour","Porto Flip","Sazerac","Sidecar","Singapore Sling","Stinger","Tom and Jerry","Caipirinha","Caju amigo","Batida","Quentão","Bacardi cocktail","Between the Sheets","Blue Hawaii","Brass Monkey","Bumbo","Bushwacker","","Cojito","Cremat","Cuba Libre (Rum and Coke)","Cuban Sunset","Daiquiri","Dark 'n' Stormy","El Presidente","Flaming Doctor Pepper","Flaming volcano","Gunfire","Hot buttered rum","Hurricane","Long Island Iced Tea","Macuá","Mai Tai","Mojito","Painkiller","Piña colada","Planter's Punch","Bermuda Rum Swizzle","151 Swizzle","Suffering Bastard (1942)","Club-Mate","Tschunk","Yellow Bird","Zombie","Bloody Mary","Sake bomb","Tamagozake","Chimayó Cocktail","El Toro Loco","Tom Collins","Juan Collins","Margarita","Matador","Paloma","Tequila Slam/Coscorron","Tequila Sunrise","Vampiro","Agent Orange","Appletini ","Astro pop","Black Russian","BLT","Blue Lagoon","Caesar","Cape Codder","Colombia","Cosmopolitan","Fizzy Apple Cocktail","Gimlet","Harrogate Nights","Harvey Wallbanger","Screwdriver","Kamikaze","Mint julep","Lemon drop martini","Rickey","Moscow mule","Orange Tundra","Red Russian","Salmiakki Koskenkorva","Salty dog","Sea Breeze","Sex on the Beach","Vesper","Vodka martini","White Russian","Woo Woo","Yorsh","Amber Moon","Black Nail","Bobby Burns","Boulevardier","Bourbon lancer","Brooklyn","Farnell","Irish Coffee","Horsefeather","Jack and Coke","Lynchburg Lemonade","Old Fashioned","Rob Roy","Scotch and soda","Seven and Seven","Toronto","Whiskey sour","Black Velvet","Death in the Afternoon","B-52","Baby Guinness","Orgasm","Backdraft","Carrot Cake","Jägerbomb","Americano","Polar Bear","Redheaded slut"
"59","IBA specifiedingredients",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 cL Rye whiskey~~~2 cL Sweet red vermouth~~~Dash Angostura bitters",NA,NA,"4 cl gin~~~3 cl  Triple Sec~~~2 cl lemon juice",NA,NA,"3.5cl Cognac~~~3.5cl Amaretto liqueur","4 cL (1 part) Brandy~~~12 cL (3 parts) Ginger ale~~~Dash of Angostura bitter (optional)",NA,NA,"3.5 cl (7 parts) gin~~~2 cl (4 parts) apricot brandy~~~1.5 cl (3 parts) orange juice","4.5cl Pisco~~~3cl lime juice~~~2cl Simple syrup~~~1 Egg white","1.5 cl (3 parts) brandy~~~4.5 cl (9 parts) port~~~1 cl (2 parts) egg yolk","5 cl cognac~~~1 cl absinthe~~~One sugar cube~~~Two dashes Peychaud's Bitters","5 cl cognac~~~2 cl triple sec~~~2 cl lemon juice","3 cl  Gin~~~1.5 cl Cherry Liqueur (cherry brandy)~~~0.75 cl  Cointreau~~~0.75 cl  DOM Bénédictine~~~1 cl  Grenadine~~~12 cl  Pineapple juice~~~1.5 cl Fresh lime juice~~~1 dash Angostura bitters","5cl cognac~~~2cl white crème de menthe",NA,NA,NA,NA,NA,"4.5 cl white rum~~~2 cl lime juice~~~1 cl grenadine syrup","3 cl white rum~~~3 cl cognac~~~3 cl triple sec~~~2 cl fresh lemon juice",NA,NA,NA,NA,NA,NA,NA,"12 cl Cola~~~5 cl white rum~~~1 cl Fresh lime juice",NA,"4.5 cl / 1.5oz (9 parts) white rum~~~2.5 cl / 5/6 oz (5 parts) lime juice~~~1.5 cl / 1/2 oz (3 parts) simple syrup","6 cl dark rum~~~10 cl ginger beer",NA,NA,NA,NA,NA,NA,"1.5 cl  Tequila~~~1.5 cl  Vodka~~~1.5 cl  White rum~~~1.5 cl  Triple sec~~~1.5 cl  Gin~~~2.5 cl  Lemon juice~~~3.0 cl  Gomme Syrup~~~1 dash of Coke",NA,"4 cl white rum~~~2 cl dark rum~~~1.5 cl orange curaçao~~~1.5 cl orgeat syrup~~~1 cl fresh lime juice","4 cl white rum~~~3 cl fresh lime juice~~~6 sprigs of mint~~~2 teaspoons sugar (or 2 cl of sugar syrup)~~~soda water",NA,NA,"4.5cl Dark rum~~~3.5 cl fresh orange juice~~~3.5 cl fresh pineapple juice~~~2 cl fresh lemon juice~~~1 cl Grenadine syrup~~~1 cl sugar syrup~~~3 or 4 dashes Angostura bitters",NA,NA,NA,NA,NA,"3 cl White Rum~~~1.5 cl Galliano~~~1.5 cl Triple sec~~~1.5 cl Lime juice",NA,"4.5 cl (3 parts) Vodka~~~9 cl (6 parts) Tomato juice~~~1.5 cl (1 part) Lemon juice~~~2 to 3 dashes of Worcestershire Sauce~~~Tabasco~~~Celery salt~~~Pepper",NA,NA,NA,NA,NA,NA,"3.5 cL (7 parts) tequila~~~2 cL (4 parts) Cointreau~~~1.5 cL (3 parts) lime juice",NA,NA,NA,"4.5 cl (3 parts) Tequila~~~9 cl (6 parts) Orange juice~~~1.5 cl (1 part) Grenadine syrup","5 cl tequila~~~7 cl tomato juice~~~3 cl fresh orange juice~~~1 cl fresh lime juice~~~1 teaspoon clear honey~~~Half slice onion finely chopped~~~Few slices fresh red hot chili pepper~~~Few drops of Worcestershire Sauce~~~Salt",NA,NA,NA,"5 cl Vodka~~~2 cl Coffee liqueur",NA,NA,NA,NA,NA,"4 cl Vodka Citron~~~1.5 cl Cointreau~~~1.5 cl Fresh lime juice~~~3 cl Cranberry juice",NA,NA,NA,"4.5 cl (3 parts) Vodka~~~1.5 cl (1 part) Galliano~~~9 cl(6 parts) fresh orange juice","5 cl (1 part) vodka~~~10 cl (2 parts) orange juice","3 cl vodka~~~3 cl triple sec~~~3 cl lime juice","6 cL Bourbon whiskey~~~4 mint leaves~~~1 teaspoon powdered sugar~~~2 teaspoons water","2.5 cl vodka citron~~~2 cl triple sec~~~1.5 cl lemon juice",NA,"4.5 cl (9 parts) vodka~~~0.5 cl (1 part) lime juice~~~12 cl (24 parts) ginger beer~~~3 mint leaves",NA,NA,NA,NA,"4 cl Vodka~~~12 cl Cranberry juice~~~3 cl Grapefruit juice","4 cl Vodka~~~2 cl Peach schnapps~~~4 cl Orange juice~~~4 cl Cranberry juice","6 cl gin~~~1.5 cl vodka~~~0.75 cl Lillet Blanc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 cl (2 parts) Irish whiskey~~~8 cl (4 parts) hot coffee~~~3 cl (1½ parts) fresh cream~~~1 tsp brown sugar",NA,NA,NA,"4.5 cl Bourbon or Rye whiskey~~~2 dashes Angostura bitters~~~1 sugar cube~~~Few dashes plain water",NA,NA,NA,NA,"4.5 cl (3 parts) bourbon whiskey~~~3 cl (2 parts) fresh lemon juice~~~1.5 cl (1 part) Gomme syrup~~~dash egg white (optional)",NA,NA,"2 cl Kahlúa~~~2 cl Baileys Irish Cream~~~2 cl Grand Marnier",NA,NA,NA,NA,NA,"3 cl Campari~~~3 cl red vermouth~~~A splash of soda water",NA,NA
"60","Ingredients as listed at CocktailDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brandy~~~Triple sec~~~Bitters~~~Champagne (optional)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 part (1 oz, 3 cl) vodka~~~1 part (1 oz, 3 cl) Cherry Heering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5 cl Scotch whisky~~~4.5 cl red vermouth~~~3 dashes Bénédictine~~~Lemon peel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 oz Canadian whisky~~~<U+200B>1/4 oz Fernet-Branca~~~<U+200B>1/4 tsp sugar~~~1 dash angostura bitters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Introduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Irish Coffee recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irish Coffee recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Kamikaze cocktail, served straight up in a cocktail glass.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kamikaze cocktail, served straight up in a cocktail glass.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Kamikaze recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kamikaze recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Lemon drop martini recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lemon drop martini recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Lemon drop martinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lemon drop martinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Long Island Iced Tea recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Long Island Iced Tea recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Lynchburg Lemonadeat Grindhouse Killer Burgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lynchburg Lemonadeat Grindhouse Killer Burgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Mai Tai recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mai Tai recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Manhattan recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Manhattan recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Margarita recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Margarita recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","May be served flaming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May be served flaming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May be served flaming",NA,NA,NA,NA,NA
"73","Mint julep recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mint julep recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Mojito recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mojito recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Moscow mule as served at Rye, San Francisco, California, United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moscow mule as served at Rye, San Francisco, California, United States",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Moscow mule recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moscow mule recipe at International Bartenders Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","No. built",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Notes",NA,NA,NA,NA,NA,"This cocktail is very similar to The Blenheim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"See the article for specifics.","This cocktail is a variant of the Sidecar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Note: The original recipe changed in the latter part of the 19th century. Rye whiskey was substituted when cognac became difficult to obtain.[2]",NA,NA,"It has been suggested that during the 1920s the Stinger ceased being an after-dinner cocktail, and instead should be consumed before dinner.[1] However, the IBA continues to list the Stinger as an after-dinner cocktail.[2]",NA,"A wide variety of fresh fruits can be used in place of lime. In the absence of cachaça, vodka can be used, making a caipiroska.[4]~~~If rum is used instead of cachaça it is called a caipiríssima.[5]",NA,NA,NA,NA,NA,"For best results do not use bottled sweet and sour mix, but rather make your own at the bar with fresh citrus juice and simple syrup. This advice applies to any drink that calls for sweet and sour.",NA,NA,"The Bushwacker is often made using many other types of liquors and spirits as there are dozens of variations on this cocktail, some of which include the addition of Bacardi Rum, Vodka, Amaretto, and Baileys Irish Cream, as well as using nutmeg as a garnish.",NA,NA,NA,NA,"Lemonade or lime soda can be replaced with non-carbonated beverages based on preference. The traditional Cuban version of the cocktail does not include grenadine, replacing it with an equivalent amount (2 cl, 1.5 parts) of extra guava nectar. Guava nectar can be replaced with boiled-down guava juice thickened with sugar for a more watery cocktail.[1]",NA,NA,NA,NA,"A shared drink served with straws",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Because of the high proof rum, this cocktail could be lit if desired.",NA,NA,"An alternative preparation method is to heat the sake/egg/honey mixture together, while whisking occasionally.Be careful to stop cooking before it turns into scrambled eggs.",NA,NA,NA,NA,NA,"Sour mix may be used in place of lime juice, depending on preference and availability. Champagne flutes are also commonly used for serving.",NA,"Variation — If champagne is used instead of soda pop, the drink is known as a Slammer Royale[1]",NA,NA,NA,NA,"Some versions are served as a cocktail or shooter",NA,NA,NA,NA,NA,NA,"The drink should be a frothy bright pink color",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"serve without stirring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This cocktail may also be blended","Traditionally a Black Nail uses blood red oranges for the fruit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",NA,NA,NA,"Variation substitutes black Sambuca for coffee liqueur",NA,"The cinnamon can be replaced with black pepper if desired, creating a much more bitter drink, known as the pepperdraft",NA,NA,NA,NA,"may also be served as a shooter -- chilled and shaken, without ice"
